State Name,County Name,FIPS,Total Population,"Percent White, not Hispanic or Latino","Percent Black, not Hispanic or Latino","Percent Asian, not Hispanic or Latino",Percent Hispanic or Latino,Percent Foreign Born,Percent Female,Percent Age 29 and Under,Percent Age 65 and Older,Median Household Income,Percent Unemployed,Percent High School Diploma or Higher,Percent Bachelor's Degree or Higher
Tennessee,Grundy,47061,13819,93.79839351617338,0.4486576452710037,0.759823432,0.405239163,0.6368043997394891,49.931254070482666,34.75649468123598,20.71061582,47593,0,82.68957105102663,14.30168733482415
Tennessee,Hamblen,47063,65669,79.43169532047084,2.907003304451111,1.0065632185658377,15.11519895232149,7.961138436705295,50.842863451552475,37.76515555284838,17.892765231692277,55454,0,88.39060722966795,20.029882032870237
Tennessee,Hamilton,47065,376192,70.23780410003403,17.03943730860837,2.089624447090847,8.045625638,6.610985879550868,51.492854712487244,36.469143416127935,18.36455852330725,76183,0,91.47620754040851,37.47081345127402
Tennessee,Hancock,47067,6852,95.46117921774663,0.5545826036193812,0.3356684179801518,1.4886164623467601,2.276707530647986,50.350262697022764,33.69819030939872,22.48978400467017,34960,0,77.58585235451368,10.754678182192063
Tennessee,Hardeman,47069,25433,53.43451421,38.36747532733064,0.7352652066213187,2.2018637203633076,1.6828529862776707,44.426532457830376,35.05681594778437,18.680454527582274,46069,0,82.91900125115596,12.201490507534135
Tennessee,Hardin,47071,27249,92.19053910235237,3.5083856288304154,0.029358875555066243,2.488164703291864,0.8110389372087049,51.40005137803222,33.56086461888509,23.468751146831078,49956,0,83.17999288364763,15.091750114369948
Tennessee,Hawkins,47073,57964,93.83755434407564,1.2456007176868402,0.5934718100890208,2.0374715340556206,0.9747429438962115,50.71941204885791,32.16824235732524,21.78938651576841,56936,7.305135212301668,87.44283134366864,16.164364284541595
Tennessee,Haywood,47075,17475,43.30758226037196,48.989985693848354,0.12017167381974249,4.829756795422031,1.5221745350500715,52.829756795422036,35.38769670958512,20.972818311874107,50472,0,83.16156780004869,14.45264951716303
Tennessee,Henderson,47077,27980,87.16583273766977,7.859185132237312,0.16082916368834882,2.9842744817726947,1.3759828448892066,51.39742673338099,35.907791279485345,18.313080771979987,55136,0,88.63729718628055,16.060792770589444
Tennessee,Henry,47079,32412,86.74564975934838,6.605578180920648,0.5553498704183636,3.014315685548562,1.5179563124768602,50.58003209,32.62680488707886,23.960261631494507,50613,0,89.15370889625287,19.12651882063047
Tennessee,Hickman,47081,25436,89.45588929076898,3.168737222833779,0.5464695706872149,3.3731718823714423,1.529328510772134,47.82591602453216,35.11558421135398,17.797609687057715,68247,0,86.51648352,13.857142857142858
Tennessee,Houston,47083,8353,92.21836466,2.5619537890578234,0.26337842691248653,3.220399856,1.2809768945289117,50.48485574045253,34.71806536573686,20.12450616544954,59576,3.8755458515283845,89.2,13.633333333333333
Tennessee,Humphreys,47085,19214,89.96044551,1.7539294264598728,0.2966586863745186,2.9197460185281567,1.7539294264598728,50.197772457583014,34.67263453731654,20.76610805,60616,6.9181659895531045,87.39232004672215,15.703022339027594
Tennessee,Jackson,47087,12029,92.86723750935239,0.4073489068085461,0,2.843129104663729,0.3408429628398038,49.380663396791086,30.326710449746447,23.29370687505196,47951,7.642725598526703,84.33348095659876,15.002214348981399
Tennessee,Jefferson,47089,56864,90.59686268992684,1.484243106359032,0.5592290377039955,4.656724817107484,1.8711311198649412,50.85115363,33.44998593134496,20.68795723128869,66114,4.591890469,89.00213550766841,20.84546689963114
Tennessee,Johnson,47091,18196,87.90393493075402,4.7482963288634865,0.2912728072103759,3.247966586062871,2.3851395911189273,46.471752033413935,28.69311936689382,23.483183117168608,53129,0,82.12230215827338,17.53956834532374
Tennessee,Knox,47093,494148,80.05739171260431,8.062159514963128,2.3114532488242387,6.329277868169051,6.450496612350956,51.02155629487521,39.938844232901886,16.268810154042917,74222,0,92.41643888458606,40.96581611280713
Tennessee,Lake,47095,6579,65.13147894816842,22.450220398236816,0.516795866,3.1311749506003954,1.9911840705274357,37.422100623195014,30.399756801945582,16.400668794649643,28814,0,73.04482825538521,9.411993013778382
Tennessee,Lauderdale,47097,24784,58.993705616526796,33.50952227243383,0.6254034861200775,2.763879922530665,1.2830858618463523,47.82520981278244,38.47240155,16.668011620400257,49879,0,83.58349520277827,11.978338925186886
Tennessee,Lawrence,47099,45385,92.93158533,1.390327200616944,0.3657596122066762,2.8026881128126035,1.4255811391428885,50.77668833314972,38.446623333700565,17.761374903602512,54706,0,86.46286780348902,15.176905704840769
