YEAR,STATE,COUNTY,PARTY,VOTES
2024,AR,Union County,Democratic,5019
2024,AR,Van Buren County,Republican,6023
2024,AR,Van Buren County,Democratic,1437
2024,AR,Washington County,Republican,50243
2024,AR,Washington County,Democratic,43779
2024,AR,White County,Republican,24514
2024,AR,White County,Democratic,5641
2024,AR,Woodruff County,Republican,1513
2024,AR,Woodruff County,Democratic,760
2024,AR,Yell County,Republican,5147
2024,AR,Yell County,Democratic,1213
2024,AZ,Apache County,Republican,12795
2024,AZ,Apache County,Democratic,18872
2024,AZ,Cochise County,Republican,35936
2024,AZ,Cochise County,Democratic,22296
2024,AZ,Coconino County,Republican,27576
2024,AZ,Coconino County,Democratic,41504
2024,AZ,Gila County,Republican,18901
2024,AZ,Gila County,Democratic,8504
2024,AZ,Graham County,Republican,11177
2024,AZ,Graham County,Democratic,3867
2024,AZ,Greenlee County,Republican,2308
2024,AZ,Greenlee County,Democratic,954
2024,AZ,La Paz County,Republican,5470
2024,AZ,La Paz County,Democratic,2101
2024,AZ,Maricopa County,Republican,1051531
2024,AZ,Maricopa County,Democratic,980016
2024,AZ,Mohave County,Republican,85683
2024,AZ,Mohave County,Democratic,24081
2024,AZ,Navajo County,Republican,29480
2024,AZ,Navajo County,Democratic,20754
2024,AZ,Pima County,Republican,214669
2024,AZ,Pima County,Democratic,292450
2024,AZ,Pinal County,Republican,126926
2024,AZ,Pinal County,Democratic,80656
2024,AZ,Santa Cruz County,Republican,7699
2024,AZ,Santa Cruz County,Democratic,11265
2024,AZ,Yavapai County,Republican,99346
2024,AZ,Yavapai County,Democratic,48717
2024,AZ,Yuma County,Republican,40745
2024,AZ,Yuma County,Democratic,26823
2024,CA,Alameda County,Republican,140789
2024,CA,Alameda County,Democratic,499551
2024,CA,Alpine County,Republican,243
2024,CA,Alpine County,Democratic,479
2024,CA,Amador County,Republican,14018
2024,CA,Amador County,Democratic,7783
2024,CA,Butte County,Republican,47179
2024,CA,Butte County,Democratic,44228
2024,CA,Calaveras County,Republican,16625
2024,CA,Calaveras County,Democratic,9181
